userId,movie_id,rating
1,171424,3
1,284,3
1,492,3
1,11678,5
1,9576,4
1,70160,4
1,39851,4
1,60309,3
1,11036,5
1,22327,2
1,210577,3
1,1381,5
1,23742,5
1,13960,4
1,82693,3
1,14405,3
1,25350,5
1,10225,5
1,13403,4
1,8967,2
1,8984,5
1,261023,5
1,334,4
1,11866,3
1,157909,3
1,22256,5
1,9697,3
1,9981,5
1,25941,3
1,208134,5
1,12183,1
1,18320,4
1,12618,3
1,8854,4
1,16448,5
1,11128,2
1,27205,4
1,2162,4
1,50544,5
1,576,4
1,109414,4
1,55604,1
1,16155,4
1,283384,3
1,29731,4
1,91586,5
1,6957,2
1,294086,4
1,84355,5
1,185008,4
1,15544,3
1,12289,4
1,11358,4
1,7547,4
1,11284,2
1,13538,5
1,7288,3
1,6973,4
1,21461,2
1,2652,3
1,9963,1
1,177572,4
1,42807,4
1,279,4
1,10192,5
1,9275,4
1,76203,4
1,62764,4
1,11543,3
1,7548,1
1,7304,4
1,9582,4
1,289180,5
1,11535,4
1,319888,3
1,9782,3
1,35056,3
1,141,4
1,27723,3
1,24226,4
1,250124,3
1,1577,4
1,17917,4
1,5123,4
1,36657,4
1,48138,5
1,16320,3
1,18162,3
1,1954,4
1,12589,5
1,34106,1
1,44944,4
1,703,4
1,28902,1
1,262543,5
1,3509,4
1,9449,4
1,39210,4
1,103620,4
1,88751,5
1,78307,2
1,588,2
1,10589,4
1,307081,4
1,85,4
1,2266,4
1,14462,4
1,1424,4
1,17345,5
1,35690,3
1,15647,4
1,9392,3
1,138103,4
1,8961,4
1,25189,4
1,281957,4
1,366967,5
1,33542,4
1,39486,4
1,13820,2
1,7341,4
1,268238,3
1,24420,1
1,76617,4
1,801,3
1,310706,2
1,69640,4
1,11596,4
1,4951,2
1,14629,2
1,226,3
1,9541,2
1,302579,5
1,77948,3
1,65448,4
1,256917,4
1,9089,1
1,23330,5
1,14144,4
1,290391,5
1,9513,5
1,179,4
1,7446,3
1,310,4
1,77953,4
1,12704,5
1,11934,5
1,2026,4
1,2312,3
1,107811,1
1,1669,5
1,15268,3
1,249164,4
1,17044,4
1,66125,2
1,10383,4
1,100241,4
1,19,3
1,40505,1
1,10214,3
1,299245,5
1,13600,5
1,29064,3
1,188166,4
1,62215,3
1,31915,4
1,13805,4
1,12555,2
1,357441,4
1,11469,3
1,6575,5
1,190955,1
1,297100,4
1,10117,4
1,72105,4
1,103731,1
1,116745,3
1,27360,4
1,129670,4
1,297621,3
1,431,3
1,224141,1
1,73247,4
1,1250,4
1,17577,1
1,49022,4
1,12498,2
1,802,1
1,278927,3
1,65754,5
1,82507,3
1,417859,4
1,272878,4
1,291362,3
1,3981,2
1,41488,3
1,28355,5
1,155,4
1,362765,4
1,12246,4
1,328387,4
1,18615,3
1,157185,3
1,152,4
1,13160,4
1,12192,3
1,12109,4
1,11283,2
1,278316,3
1,42889,2
1,9725,2
1,2069,3
1,39845,4
1,34563,3
1,11412,5
1,9012,5
1,1271,4
1,242,4
1,100402,4
1,33511,3
1,318850,3
1,14139,4
1,85350,3
1,115,3
1,12690,1
1,13475,3
1,325789,4
1,4584,5
1,16388,1
1,71859,2
1,26320,2
1,16988,1
1,329540,4
1,2752,4
1,147441,4
1,50620,2
1,1893,5
1,10040,4
1,46195,4
1,257445,3
1,8916,2
1,18975,3
1,11619,4
1,66942,1
1,9552,3
1,36955,2
1,10139,2
1,10437,4
1,786,3
1,309809,3
1,9776,3
1,19556,4
1,184341,1
1,318846,1
1,37056,3
1,16433,5
1,11544,4
1,9895,2
1,3175,3
1,190847,4
1,13154,2
1,49017,5
1,10550,4
1,37958,5
1,49524,5
1,1417,4
1,13812,4
1,29461,1
1,11025,4
1,2454,5
1,25132,3
1,162,2
1,12763,2
1,14325,3
1,57431,4
1,8363,4
1,91070,3
1,16072,4
1,14048,5
1,116149,4
1,27573,3
1,10366,4
1,11011,1
1,22051,2
1,1548,1
1,303858,4
1,2067,5
1,43630,3
1,12228,2
1,9416,5
1,470,4
1,1273,4
1,25462,3
1,8618,4
1,9819,3
1,4233,3
1,87825,3
1,9104,4
1,68726,1
1,38579,5
1,253412,4
1,260346,4
1,9398,4
1,59917,4
1,790,3
1,25212,4
1,37737,5
1,11130,3
